flawfinder-clang,value.c,831,buffer/memcpy:832-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:832,4,31,2,5,0.4
clang,vm.c,1265,core.NullDereference:1266,22,467,3,5,0.6
flawfinder,argparse.h,199,format/fprintf:199,2,5,1,5,0.2
codeql,public.c,717,cpp/conversion-changes-sign:717,1,5,1,5,0.2
codeql,vm.c,1378,cpp/equality-on-floats:1378,22,467,3,5,0.6
codeql-infer,public.c,396,INTEGER_OVERFLOW_L2:406-cpp/memory-may-not-be-freed:396,4,39,2,5,0.4
flawfinder-clang,debug.c,238,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:241-buffer/sprintf:241,1,23,2,5,0.4
codeql,compiler.c,885,cpp/conversion-changes-sign:885,2,62,1,5,0.2
codeql-flawfinder-clang,std_os.c,165,race/readlink:167-buffer/sprintf:166-cpp/conversion-changes-sign:167-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:166,2,6,3,5,0.6
flawfinder,std_path.c,424,buffer/strlen:424,3,23,3,5,0.6
flawfinder-clang,value.c,311,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:317-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:313-format/snprintf:313-format/snprintf:317,2,9,2,5,0.4
flawfinder-codeql-clang,debug.c,88,cpp/conversion-changes-sign:166-cpp/conversion-changes-sign:158-format/snprintf:91-cpp/conversion-changes-sign:122-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:91,8,82,3,5,0.6
clang-flawfinder,cJSON.c,1228,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:1228-buffer/memcpy:1228,2,24,3,5,0.6
flawfinder,argparse.h,461,format/fprintf:461,18,48,2,5,0.4
codeql,value.c,391,cpp/conversion-changes-sign:392,3,28,3,5,0.6
codeql,debug.c,268,cpp/memory-may-not-be-freed:268,1,4,1,5,0.2
flawfinder,public.c,1137,input/fread:1138,3,13,2,5,0.4
semgrep-codeql-clang-infer,public.c,121,BUFFER_OVERRUN_L2:138-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:126-c.lang.security.insecure-use-memset.insecure-use-memset:126-cpp/conversion-changes-sign:132,3,20,4,5,0.8
codeql,core.c,806,cpp/conversion-changes-sign:816,2,22,1,5,0.2
codeql,utils.c,179,cpp/conversion-changes-sign:179,3,43,2,5,0.4
codeql,core.c,2361,cpp/memory-may-not-be-freed:2361,5,46,1,5,0.2
clang,debug.c,382,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:382,32,167,3,5,0.6
flawfinder-clang,std_path.c,133,buffer/memcpy:134-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:134,2,7,3,5,0.6
codeql-clang,core.c,123,cpp/global-use-before-init:123-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:123,1,1,2,5,0.4
codeql,public.c,1129,cpp/conversion-changes-sign:1130,3,13,2,5,0.4
codeql-flawfinder-clang,value.c,1552,cpp/conversion-changes-sign:1554-cpp/potential-buffer-overflow:1553-buffer/sprintf:1553-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:1553-cpp/overrunning-write:1553,14,143,3,5,0.6
